num_players,player_stack,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result,winners
6,54.2,5c Ks,"received, received, folds, does",,,,,,folded,0.0,smaug8133
5,89.15,4s Ac,"has, received, received, folds",10s 8s 2h,,8c,,3s,,-0.25,imperceptible
5,55.32,4s,"has, received, received, folds, does",,,,,,folded,-0.5,Indigol
5,25.79,8s,"received, received, folds, does",,,,,,folded,0.0,RipHarambe2016
5,88.9,6h Jh,"has, received, received, mucks, mucks",,,,,,,0.25,IlxxxlI
6,12.5,Qd,"received, received, folds",2c 10s 9s,,8c,,5c,,0.0,FatzPanda
5,55.32,Ks 2d,"received, received, folds, does",,,,,,folded,0.0,unicellular
5,25.79,6h 7c,"received, received, folds, does",,,,,,folded,0.0,Sonic3Dblast
6,54.45,9s 2s,"has, received, received, folds, does",,,,,,folded,-0.25,smaug8133
5,25.89,6d 3s,"has, received, received, folds, does",,,,,,folded,-0.1,RipHarambe2016
5,50.25,As 3h,"has, received, received, folds",10h 4d Kh,,5c,,9d,,-0.25,Parcker
5,55.32,9c 5d,"received, received, folds",9s Kc Kh,,,,,,0.0,Maria_Pia
6,88.9,2c,"received, received, folds",Ac 9c Kd,,As,,9d,,0.0,Parcker
5,53.74,9h 7d,"has, received, received, folds",7s 10s Js,,Kh,,2d,,-0.25,"odel_nadel, imperceptible"
6,12.5,Ac 5c,"received, received, folds",6s Kd 10h,,5s,,9d,,0.0,Parcker
5,50.0,4d 2c,"has, received, received, mucks, mucks",,,,,,,0.25,IlxxxlI
6,55.95,4s 5s,"has, received, received, calls",Jh Qs 2h,"folds, does",,,,folded,-1.5,smaug8133
5,54.57,6h Ah,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
5,26.39,Jd 2d,"has, received, received, calls",6c 4d 5h,"checks, folds, does",,,,folded,-0.5,RipHarambe2016
5,54.24,9h 2c,"has, received, received, folds, does",,,,,,folded,-0.5,imperceptible
5,50.0,8h 9s,"received, received, folds, does",,,,,,folded,0.0,imperceptible
5,88.9,7s Kc,"received, received, folds",9h 4h 2h,,,,,,0.0,mandolorian
5,54.24,9h Ac,"received, received, folds, does",,,,,,folded,0.0,Indigol
5,26.39,8s 5s,"received, received, folds, does",,,,,,folded,0.0,RipHarambe2016
5,137.74,9s 3s,"received, received, folds",7c 7d Kh,,,,,,0.0,38979
6,12.85,Kc,"received, received, raises",Js Kd 4h,"bets, folds, does",,,,folded,-1.32,SkaHot
6,55.95,8s 3d,"received, received, folds",10h 4c Ks,,9c,,,,0.0,unicellular
5,26.39,8h 9d,"received, received, folds, does",,,,,,folded,0.0,Sonic3Dblast
6,88.9,4h Qh,"received, received, folds",7c Qs 10c,,8h,,6h,,0.0,Parcker
4,12.5,6s 4s,"received, received, raises, mucks, mucks",,,,,,,0.35,IlxxxlI
5,136.24,9d 8d,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
5,26.39,5d 4h,"received, received, folds, does",,,,,,folded,0.0,Sonic3Dblast
5,50.0,8d 8c,"has, received, received, calls",5d 8h Qc,"checks, calls",Qd,"checks, allin, mucks, mucks",,,4.57,IlxxxlI
6,55.95,Qc 6d,"received, received, folds, does",,,,,,folded,0.0,unicellular
5,50.0,9s 2d,"received, received, folds",9h 6h 5s,,4c,,,,0.0,imperceptible
5,51.5,Ac,"received, received, raises",4h Ks Ad,checks,6h,checks,8d,bets,2.74,IlxxxlI
6,55.2,3c 3d,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,88.9,Js 6d,"received, received, folds",Kh Ac Jc,,2c,,,,0.0,Maria_Pia
6,55.2,3c 8c,"received, received, folds, does",,,,,,folded,0.0,imperceptible
6,26.49,4c 6s,"has, received, received, folds, does",,,,,,folded,-0.1,RipHarambe2016
5,51.5,Kc 2s,"received, received, folds, does",,,,,,folded,0.0,odel_nadel
5,50.0,3d 8d,"received, received, folds, does",,,,,,folded,0.0,Parcker
5,89.15,9d Jd,"has, received, received, folds, does",,,,,,folded,-0.25,Parcker
6,55.45,8h Qc,"has, received, received, folds, does",,,,,,folded,-0.25,smaug8133
5,12.5,Jc,"has, received, received, folds",3s Kc 2d,,Kh,,Kd,,-0.1,SCON
6,50.0,3s,"has, received, received, folds, does",,,,,,folded,-0.25,zionnoiz
4,51.75,5d 2h,"has, received, received, folds, does",,,,,,folded,-0.25,Indigol
5,69.37,Js Jd,"received, received, raises",7c Jc 7s,"bets, calls",As,calls,8h,allin,66.87,IlxxxlI
6,26.99,7h 9c,"has, received, received, calls",8c Jh 4h,"checks, folds, does",,,,folded,-0.5,Snowbumps
4,50.0,Qh Ad,"has, received, received, raises",8d Jh 4c,bets,,bets,3d,"checks, folds, folded",-13.5,Indigol
5,90.35,3h 7h,"has, received, received, calls",Kh 5s 8c,checks,9s,"folds, does",,folded,-1.2,mandolorian
5,52.25,6d 3d,"has, received, received, folds, does",,,,,,folded,-0.5,Kustro_
5,58.15,5h 7h,"has, received, received, calls",4d Jd 5s,calls,2d,checks,6s,"checks, mucks",-2.7,smaug8133
5,12.5,9h Jc,"has, received, received, folds",Qc Jh 6d,,Kd,,,,-0.25,SCON
5,90.35,7c 5s,"received, received, folds, does",,,,,,folded,0.0,mandolorian
5,69.37,8d As,"received, received, folds",Qh 3h 9s,,6h,,,,0.0,Jekkk88
5,50.0,Ad,"has, received, received, calls",Qh Jh 2d,checks,8s,"checks, calls",8c,"checks, mucks",-4.51,Parcker
5,57.4,6s 6d,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,26.99,2s 3c,"received, received, folds",4h Jc 10c,,6d,,,,0.0,RipHarambe2016
4,50.0,6h Qh,"received, received, folds",As 6d 10s,,Jh,,,,0.0,unicellular
5,88.98,Kh Kc,"received, received, raises",9d 9s 6h,"bets, mucks, mucks",,,,,1.37,IlxxxlI
5,50.0,Jd 5s,"received, received, folds, does",,,,,,folded,0.0,Bungalow
4,50.0,6s 8h,"received, received, folds, does",,,,,,folded,0.0,unicellular
5,12.5,7c Kh,"received, received, folds",9d As 4d,,,,,,0.0,Parcker
5,57.4,5c 2d,"received, received, folds, does",,,,,,folded,0.0,unicellular
6,26.99,7d 5s,"received, received, folds",2h Kh 6h,,Jd,,,,0.0,Snowbumps
5,88.98,Qc,"received, received, folds",3d Ad 6c,,,,,,0.0,Maria_Pia
5,50.0,4c Qs,"received, received, folds, does",,,,,,folded,0.0,zionnoiz
5,52.25,As 5c,"received, received, folds",10c 10s Ad,,Kh,,,,0.0,Indigol
5,57.4,Qc 6h,"received, received, folds, does",,,,,,folded,0.0,smaug8133
4,82.69,2h 3s,"received, received, folds",10h As Kc,,4c,,,,0.0,odel_nadel
5,89.23,6d 3c,"has, received, received, folds, does",,,,,,folded,-0.25,Maria_Pia
5,50.0,Jd 4c,"received, received, folds, does",,,,,,folded,0.0,Parcker
4,82.69,2h 7s,"received, received, folds, does",,,,,,folded,0.0,odel_nadel
5,57.65,3h 5c,"has, received, received, folds, does",,,,,,folded,-0.25,unicellular
5,12.5,4c 8c,"received, received, folds",Jh 9c 3h,,6h,,,,0.0,TimmyDrewno
5,69.87,9d Qh,"has, received, received, folds",Qc 4s 5d,,Qs,,8h,,-0.5,so_it_goes
5,89.73,2s,"has, received, received, folds",5d 7h 9s,,5h,,As,,-0.5,mandolorian
5,50.0,8d 4c,"has, received, received, folds, does",,,,,,folded,-0.25,Parcker
4,65.58,Kh 3c,"received, received, folds, does",,,,,,folded,0.0,burgerlife
5,52.25,7c,"received, received, folds, does",,,,,,folded,0.0,odel_nadel
5,58.15,4c Jd,"has, received, received, folds, does",,,,,,folded,-0.5,so_it_goes
4,50.5,7s,"has, received, received, folds, does",,,,,,folded,-0.5,zionnoiz
4,12.5,9s,"received, received, folds, does",,,,,,folded,0.0,Parcker
5,64.58,Ks Qd,"has, received, received, raises, mucks, mucks",,,,,,,1.0,IlxxxlI
4,50.0,6d Jd,"has, received, received, calls",Qh 3h 8c,"checks, folds, folded",7s,,,,-1.0,unicellular
4,12.6,8h,"has, received, received, folds, does",,,,,,folded,-0.1,SkaHot
5,89.73,3h,"received, received, folds",Qs 7h Qd,,Js,,2c,,0.0,I_JUST_GOTTA
3,12.5,7s 2s,"has, received, received, mucks, mucks",,,,,,,0.1,IlxxxlI
5,26.99,Js 7d,"received, received, folds",10c Qd Ac,,,,3h,,0.0,Jepare
3,12.5,2c,"received, received, folds, does",,,,,,folded,0.0,SCON
4,80.65,Ac,"has, received, received, raises",4h 8h Js,checks,Ah,"checks, calls",Jc,checks,2.04,IlxxxlI
5,54.23,Jd As,"has, received, received, calls",9d 8c Jh,checks,5s,bets,4s,"checks, calls",15.64,IlxxxlI
6,69.43,4s Ad,"has, received, received, calls",5h 6d 2d,"bets, folds, does",,,,folded,-4.85,38979
5,50.5,9d,"received, received, folds",3s Js Qs,,Kd,,9h,,0.0,Maria_Pia
5,52.25,6c 5h,"received, received, folds",8c 6s 5c,,Jd,,Qd,,0.0,odel_nadel
6,27.09,Ah,"has, received, received, folds",Qh 3h Ad,,,,5s,,-0.1,Sonic3Dblast
5,58.15,8s 2s,"received, received, folds",5s 7c 9s,,Qd,,Jh,,0.0,smaug8133
5,89.73,7c 5s,"received, received, folds",4h Ah Js,,Kc,,4d,,0.0,mandolorian
5,54.23,4c 5c,"received, received, folds, does",,,,,,folded,0.0,Jekkk88
4,89.73,3s 4d,"received, received, folds, does",,,,,,folded,0.0,I_JUST_GOTTA
4,89.98,8c,"has, received, received, folds, does",,,,,,folded,-0.25,Maria_Pia
5,58.15,Kh,"received, received, folds, does",,,,,,folded,0.0,unicellular
4,50.0,4c Ah,"received, received, folds",10d 6h 2d,,6d,,8s,,0.0,Indigol
6,27.34,8s,"has, received, received, folds",5d 7c Kd,,3h,,2c,,-0.25,"RipHarambe2016, Snowbumps"
4,50.0,9h,"received, received, folds, does",,,,,,folded,0.0,Indigol
5,50.0,,"received, received, raises, mucks, mucks",,,,,,,2.25,IlxxxlI
5,89.98,Qh 2d,"received, received, folds",2c 9s Ah,,,,4s,,0.0,I_JUST_GOTTA
6,58.15,3h As,"received, received, folds, does",,,,,,folded,0.0,Indigol
4,50.5,2c Kc,"received, received, folds",4c 6d Qh,,Js,,Ad,,0.0,Bungalow
5,50.0,3h Kd,"has, received, received, folds, does",,,,,,folded,-0.25,so_it_goes
4,83.07,Ac,"has, received, received, calls",4c 5c 2s,"checks, calls",4h,"checks, folds, does",,folded,-2.42,BananaMango
5,89.98,8d 9s,"received, received, folds, does",,,,,,folded,0.0,NETWEBS
4,50.5,9d 2h,"received, received, folds, does",,,,,,folded,0.0,zionnoiz
5,50.25,7c 4d,"has, received, received, folds, does",,,,,,folded,-0.25,odel_nadel
3,14.42,Qc Kc,"has, received, received, raises, calls",3s 6s 5d,"checks, folds, does",,,,folded,-4.75,SCON
5,54.23,8c 6s,"received, received, folds",Jh 5d 10c,,Qh,,3h,,0.0,so_it_goes
5,89.98,8d,"received, received, folds, does",,,,,,folded,0.0,Maria_Pia
4,90.23,5c 9s,"has, received, received, folds, does",,,,,,folded,-0.25,Maria_Pia
6,25.0,Ad Ah,"received, received, raises",3s 4s 9c,bets,2d,"bets, mucks, mucks",,,2.34,IlxxxlI
4,14.42,2h Kc,"received, received, folds, does",,,,,,folded,0.0,Renewable
5,50.0,8c,"has, received, received, mucks, mucks",,,,,,,0.25,IlxxxlI
4,81.79,Kh,"received, received, raises",Ad 6h Qd,"bets, mucks, mucks",,,,,1.28,IlxxxlI
6,25.0,Qs 8d,"received, received, folds, does",,,,,,folded,0.0,GrandeGeorge
4,50.75,6d 5d,"has, received, received, folds",Ks 7c 5s,,,,,,-0.25,zionnoiz
5,54.23,4h 4d,"received, received, folds",9s 7h 4s,,,,,,0.0,Jekkk88
5,25.0,2s Ad,"received, received, folds, does",,,,,,folded,0.0,Sonic3Dblast
5,51.25,Kd 7c,"has, received, received, folds, does",,,,,,folded,-0.5,imtyma13
5,50.75,5h Qh,"has, received, received, calls",As Jc 7c,checks,3c,checks,3s,"checks, folds, folded",-1.0,Indigol
6,53.62,Jh Ac,"has, received, received, raises",7h Qh 4h,checks,5s,checks,9h,"bets, mucks",4.53,IlxxxlI
6,50.0,Qs Ad,"has, received, received, calls",6s 5s 3h,,,,Qh,,40.23,IlxxxlI
5,51.25,7s,"received, received, folds, does",,,,,,folded,0.0,zionnoiz
6,81.29,Kc Qc,"has, received, received, raises, mucks, mucks",,,,,,,0.5,IlxxxlI
5,54.23,Qc 3c,"received, received, folds, does",,,,,,folded,0.0,burgerlife
5,51.25,As 3c,"received, received, folds, does",,,,,,folded,0.0,Bungalow
5,50.75,3d Ah,"received, received, folds, does",,,,,,folded,0.0,so_it_goes
5,50.0,5c 6s,"received, received, folds",9c 9s 3s,,7h,,,,0.0,odel_nadel
6,55.12,6s,"has, received, received, calls",8h Ac Ah,"folds, does",,,,folded,-1.5,smaug8133
5,50.0,Jd 7d,"received, received, folds, does",,,,,,folded,0.0,Steve_Nash13
6,50.0,Ac Ks,"has, received, received, caps, mucks, mucks",,,,,,,1.25,IlxxxlI
5,25.0,3h 3s,"received, received, folds",Ad 4d Kc,,Qc,,5d,,0.0,Snowbumps
6,50.0,2c 8c,"received, received, folds",10d Ah 10c,,3h,,6c,,0.0,imperceptible
6,55.12,5h Qd,"received, received, folds, does",,,,,,folded,0.0,imperceptible
5,50.75,Ks 9s,"received, received, folds, does",,,,,,folded,0.0,38979
4,14.42,2s Js,"received, received, folds",2d 6c 2h,,7c,,,,0.0,SCON
6,52.29,Jh Kc,"has, received, received, calls",5c Ks Kh,"checks, calls",3s,checks,Jd,bets,29.0,IlxxxlI
6,50.0,7s 3s,"received, received, folds",5d Kh Jh,,,,,,0.0,I_JUST_GOTTA
5,54.73,3h 6c,"has, received, received, folds",7s 9d 5h,,Qh,,4s,,-0.5,11
5,50.0,5c 9s,"received, received, folds",9h As Js,,,,,,0.0,odel_nadel
6,50.0,Kh Jc,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,50.0,7s Qs,"received, received, folds, does",,,,,,folded,0.0,imperceptible
6,55.12,5s 4h,"received, received, folds, does",,,,,,folded,0.0,imperceptible
4,14.52,6d 2s,"has, received, received, folds, does",,,,,,folded,-0.1,Renewable
6,51.54,Jh,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,50.0,6h,"received, received, folds, does",,,,,,folded,0.0,Maria_Pia
6,25.0,Ad 9h,"has, received, received, folds, does",,,,,,folded,-0.1,GrandeGeorge
6,50.25,7h Qc,"has, received, received, folds, does",,,,,,folded,-0.25,38979
6,51.54,2h As,"received, received, folds, does",,,,,,folded,0.0,odel_nadel
5,50.0,2s Kd,"received, received, folds, does",,,,,,folded,0.0,Indigol
6,69.43,8c Kd,"received, received, folds",9d 4d 10c,,8d,,5h,,0.0,NoahSDsDad
5,55.73,2s 3h,"has, received, received, folds",As 9c Kh,,8h,,,,-1.0,Jekkk88
6,50.0,2h 7h,"has, received, received, calls, folds, does",,,,,,folded,-0.5,Maria_Pia
6,55.12,2h 6h,"received, received, folds, does",,,,,,folded,0.0,imperceptible
6,25.0,Qd 7c,"has, received, received, folds, does",,,,,,folded,-0.25,Snowbumps
5,50.25,As 3c,"has, received, received, calls, folds, does",,,,,,folded,-0.5,odel_nadel
6,69.43,6d 3c,"received, received, folds, does",,,,,,folded,0.0,burgerlife
6,55.12,6h 9h,"received, received, folds, does",,,,,,folded,0.0,Indigol
6,25.0,2c 3h,"received, received, folds, does",,,,,,folded,0.0,Jepare
5,54.23,4d 4h,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
6,50.0,8s Qh,"has, received, received, folds, does",,,,,,folded,-0.5,mandolorian
4,16.77,9d Ad,"has, received, received, raises",7s 6h 4h,"checks, folds, does",,,,folded,-2.25,SkaHot
6,50.75,3d 6h,"has, received, received, folds, does",,,,,,folded,-0.5,Indigol
5,50.0,Qd 8d,"has, received, received, mucks, mucks",,,,,,,0.25,IlxxxlI
6,69.43,8c Kh,"received, received, folds, does",,,,,,folded,0.0,38979
6,50.0,4h Jc,"received, received, folds",6s Ad Qc,,Ah,,Qd,,0.0,zionnoiz
6,51.54,Jh Kd,"received, received, folds",4d Qc 5h,,7s,,,,0.0,walk506
6,50.0,9c 3c,"received, received, folds, does",,,,,,folded,0.0,zionnoiz
5,50.0,6c 4d,"received, received, folds, does",,,,,,folded,0.0,Kustro_
6,60.02,Ac,"has, received, received, raises, folds, does",,,,,,folded,-4.9,smaug8133
5,54.23,4d 7d,"received, received, folds",2d Qd Qh,,4h,,,,0.0,11
5,69.43,Jh 9h,"received, received, folds",10s 4c 8c,,,,,,0.0,burgerlife
6,50.75,7s Js,"received, received, folds",Ah Qd 2d,,,,,,0.0,walk506
6,50.0,5s 9s,"received, received, folds",5h 4c Kh,,Jd,,9h,,0.0,Maria_Pia
6,25.0,8d Js,"received, received, folds",2d 2c 10c,,Qh,,,,0.0,Sonic3Dblast
6,60.52,6c 7d,"has, received, received, folds, does",,,,,,folded,-0.5,unicellular
5,69.93,9c 2h,"has, received, received, folds, does",,,,,,folded,-0.5,LAGrinder
5,54.23,7h Kc,"received, received, folds, does",,,,,,folded,0.0,11
6,50.0,,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
4,12.5,Ah,"received, received, raises",Qc 3s As,"checks, calls",Kc,checks,7c,checks,4.27,IlxxxlI
5,70.93,Kc 2h,"has, received, received, folds, does",,,,,,folded,-1.0,burgerlife
6,50.9,Qs 9s,"received, received, raises",Kc 2h 6h,"folds, does",,,,folded,-1.25,mandolorian
5,50.0,8h Jh,"received, received, folds",3h 8d 2h,,8s,,5d,,0.0,Maria_Pia
5,54.23,Jh 3s,"received, received, folds, does",,,,,,folded,0.0,38979
6,50.0,9h Qc,"received, received, folds",8d 5c Ah,,Jh,,,,0.0,Miami305919
6,25.0,Qd 2d,"received, received, folds",6c 7s Qc,,Qh,,3s,,0.0,Jepare
6,50.0,Qs 2c,"received, received, folds",5d Ac 8h,,,,,,0.0,38979
6,51.54,8d 7c,"received, received, folds",Ks Qh 5d,,6s,,3c,,0.0,walk506
4,12.5,Jh 7d,"received, received, folds, does",,,,,,folded,0.0,SCON
5,50.0,Kh 6s,"received, received, folds, does",,,,,,folded,0.0,Indigol
5,54.73,9s 6s,"has, received, received, folds, does",,,,,,folded,-0.5,11
6,51.79,Kc 5s,"has, received, received, folds, does",,,,,,folded,-0.25,odel_nadel
6,60.52,8d 9c,"received, received, folds",7s 4h 3d,,Js,,7d,,0.0,Indigol
6,50.0,4c,"received, received, folds, does",,,,,,folded,0.0,so_it_goes
6,50.9,9h 7d,"received, received, folds",8h 9c 10h,,2c,,2d,,0.0,imperceptible
4,50.0,2s Qs,"received, received, folds, does",,,,,,folded,0.0,Kustro_
6,52.29,7d 9c,"has, received, received, folds, does",,,,,,folded,-0.5,imperceptible
6,50.0,2d 2c,"has, received, received, calls",8d Ac Kh,"checks, folds, does",,,,folded,-1.5,imperceptible
4,12.5,6h 6s,"received, received, raises, folds, does",,,,,,folded,-1.25,SkaHot
5,55.73,6s,"has, received, received, folds",4c Ah 8c,,,,,,-1.0,Jekkk88
6,58.27,Qh Jh,"received, received, raises, mucks, mucks",,,,,,,2.25,IlxxxlI
6,25.0,7s 6s,"received, received, folds",Js 7h 10c,,Jc,,4d,,0.0,RipHarambe2016
5,55.73,5s 9c,"received, received, folds, does",,,,,,folded,0.0,38979
6,52.29,8c 6h,"received, received, folds, does",,,,,,folded,0.0,AAADRUNKKK
6,50.9,3s 6d,"received, received, folds, does",,,,,,folded,0.0,Maria_Pia
6,56.07,7s 7h,"has, received, received, raises",Js Jc Ks,bets,Qh,"checks, folds, does",,folded,-6.69,38979
4,50.25,6h 7d,"has, received, received, folds",3d 6d 8s,,,,,,-0.25,Indigol
5,58.23,As,"received, received, raises, folds, does",,,,,,folded,-2.5,11
5,50.0,Kc Js,"has, received, received, calls",9c 7d 10d,"folds, folded",4c,,Ah,,-1.5,Bungalow
5,58.27,Ks 3d,"received, received, folds",7h Jd 10c,,Qc,,Qs,,0.0,Indigol
6,50.0,Ad Qs,"received, received, raises",9d 9s Jc,"bets, mucks, mucks",,,,,2.29,IlxxxlI
4,12.5,Jh 8d,"has, received, received, folds",Ks 2c 6s,,As,,Ad,,-0.1,No
6,25.0,4s 5c,"has, received, received, folds",2c Jd 6h,,8c,,,,-0.1,Snowbumps
6,56.57,8s 5s,"has, received, received, folds, does",,,,,,folded,-0.5,so_it_goes
6,50.0,4c 9d,"received, received, folds, does",,,,,,folded,0.0,imperceptible
6,50.0,5h 9d,"received, received, folds, does",,,,,,folded,0.0,AAADRUNKKK
4,50.75,6d Qs,"has, received, received, folds, does",,,,,,folded,-0.5,Steve_Nash13
6,56.57,Qh 8d,"received, received, folds, does",,,,,,folded,0.0,imperceptible
6,50.0,7d,"has, received, received, calls",3s 7h 2d,bets,,"bets, mucks, mucks",,,0.9,IlxxxlI
5,55.53,Ac Qh,"received, received, raises",2c Qs 4c,bets,Jh,"bets, mucks, mucks",,,2.74,IlxxxlI
4,58.23,Kh 4c,"received, received, folds",2c 3c 6d,,6c,,2d,,0.0,11
6,25.0,8s 4c,"has, received, received, folds",Kh 8c 8d,,,,,,-0.25,Snowbumps
6,56.57,6h Ac,"received, received, folds, does",,,,,,folded,0.0,imperceptible
4,12.56,5s Ah,"has, received, received, calls",2d 3d 8d,"folds, does",,,,folded,-0.5,No
6,50.0,3h,"received, received, folds",7h Ah 2d,,9h,,,,0.0,AAADRUNKKK
6,70.93,Jd 2h,"received, received, folds",Ad 6h Qc,,As,,3d,,0.0,NoahSDsDad
6,55.82,9c Ac,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,50.0,Js 2c,"has, received, received, folds, does",,,,,,folded,-0.5,imperceptible
6,25.0,8c Kc,"received, received, folds",5h Kd Js,,,,,,0.0,Snowbumps
5,51.0,Qd Kc,"has, received, received, raises",6c 10c 7h,"bets, mucks, mucks",,,,,4.53,IlxxxlI
6,50.75,8d,"has, received, received, mucks, mucks",,,,,,,0.25,IlxxxlI
6,55.82,5s 6d,"received, received, folds, does",,,,,,folded,0.0,imperceptible
6,52.56,Kh Kd,"received, received, raises",Kc Qc 2d,bets,Ad,bets,8d,"calls, mucks",-15.0,imperceptible
4,58.23,3s,"received, received, folds",As Jh 6d,,6c,,3c,,0.0,38979
6,50.0,Kh Qc,"received, received, raises, folds, does",,,,,,folded,-1.0,Maria_Pia
6,25.0,Kc 9d,"received, received, folds, does",,,,,,folded,0.0,Snowbumps
4,12.56,8c As,"received, received, folds",5d Ad 7s,,8d,,3c,,0.0,Renewable
4,50.75,6s As,"received, received, folds",4s 4c 2d,,3h,,7h,,0.0,Kustro_
6,50.75,2c 9c,"received, received, folds, does",,,,,,folded,0.0,smaug8133
5,70.93,5c Js,"received, received, folds",As 9h 7h,,6d,,Ac,,0.0,NoahSDsDad
6,50.0,9d Jd,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
5,58.73,3h 7c,"has, received, received, folds",As 7s 3c,,,,,,-0.5,Jekkk88
6,50.0,Qs 6d,"has, received, received, folds",Ac Ad Ah,,3h,,Kd,,-0.25,walk506
5,50.0,6d 3h,"received, received, folds, does",,,,,,folded,0.0,so_it_goes
6,25.0,8d 6c,"received, received, folds",3s 5h 10d,,7c,,,,0.0,RipHarambe2016
4,50.0,Ah,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,52.56,4c Qs,"received, received, folds",As 9s 3h,,,,,,0.0,zionnoiz
5,70.93,2s Qh,"received, received, folds",3d 7c 6c,,Ac,,4c,,0.0,Maria_Pia
5,50.0,8c 5d,"received, received, folds, does",,,,,,folded,0.0,Indigol
6,50.0,Qd 2s,"has, received, received, folds, does",,,,,,folded,-0.5,AAADRUNKKK
6,51.88,Ks,"received, received, raises",Jh 4c Qd,checks,Qh,calls,,"checks, mucks",-3.15,mandolorian
4,70.93,Kc 4s,"received, received, folds, does",,,,,,folded,0.0,LAGrinder
5,59.73,9c 6d,"has, received, received, folds",Qs 2s Kc,,5c,,Ah,,-1.0,11
4,12.56,9c 6s,"received, received, folds",3d 3c 9s,,,,,,0.0,SkaHot
6,52.56,3d 7h,"received, received, folds",5d 9s 4c,,2s,,,,0.0,Miami305919
6,56.07,5h Jh,"has, received, received, folds",5s 8s 3s,,Ac,,,,-0.25,so_it_goes
5,59.73,7s Ks,"received, received, folds, does",,,,,,folded,0.0,Jekkk88
6,25.0,Ac 5s,"received, received, raises",Qd Ks Qh,bets,,checks,,"folds, folded",-1.02,RipHarambe2016
4,12.56,2c 4s,"received, received, folds",Ah 4c 6d,,,,,,0.0,No
6,52.06,Qh Qd,"has, received, received, raises, mucks, mucks",,,,,,,0.5,IlxxxlI
4,50.0,8d Ah,"received, received, raises",4s 5h Qd,bets,9s,checks,2c,"checks, mucks",-1.96,Kustro_
6,52.38,4c 4s,"received, received, calls",Ks Ad 10c,"folds, folded",7s,,,,-0.5,mandolorian
4,50.25,2c,"has, received, received, folds, does",,,,,,folded,-0.25,odel_nadel
3,71.43,3c 4s,"has, received, received, folds",6c Jd 9c,,4d,,Qh,,-0.5,burgerlife
6,52.56,Ad Js,"has, received, received, folds, does",,,,,,folded,-0.5,imtyma13
6,50.0,2d,"received, received, folds",5s Ad Qc,,6c,,,,0.0,walk506
5,52.38,5s 9c,"received, received, folds, does",,,,,,folded,0.0,imperceptible
5,50.0,3c,"has, received, received, folds",Kd 2c 4c,,8h,,8d,,-0.25,Indigol
5,50.75,4d 8h,"has, received, received, folds, does",,,,,,folded,-0.5,odel_nadel
6,54.93,2h 9h,"has, received, received, calls",6c 7h 10d,"bets, mucks, mucks",,,,,1.14,IlxxxlI
6,52.56,4s 2s,"received, received, folds, does",,,,,,folded,0.0,imtyma13
5,52.63,6s 3s,"has, received, received, folds, does",,,,,,folded,-0.25,mandolorian
4,52.38,Qc 6s,"has, received, received, mucks, mucks",,,,,,,0.25,IlxxxlI
4,50.0,5s 2h,"has, received, received, folds, does",,,,,,folded,-0.5,Indigol
6,52.56,5d 4c,"received, received, folds",8s Qd 6c,,,,,,0.0,imtyma13
2,51.5,Kh,"has, received, received, raises",3d 10s 7c,bets,2s,bets,Kc,"allin, mucks",19.93,IlxxxlI
4,52.38,Kh,"received, received, folds",3h 2s 7s,,,,,,0.0,imperceptible
4,50.0,Jd 3d,"received, received, folds",Qh Jh 8c,,,,,,0.0,imperceptible
6,50.0,5c 8c,"received, received, folds",4d 5h 4c,,,,,,0.0,odel_nadel
4,12.66,9d,"has, received, received, folds",5h 10d 2d,,6h,,6c,,-0.1,SCON
5,50.75,8h 6s,"received, received, folds",5d 6c Ac,,3d,,,,0.0,Steve_Nash13
6,25.0,2h,"has, received, received, folds",9d 8c 8d,,6h,,Ad,,-0.1,Jepare
6,54.93,Qd 5h,"received, received, folds",Jc 4d 3s,,7s,,,,0.0,walk506
5,59.73,2d 6h,"received, received, folds",2s 3d 3s,,4d,,4c,,0.0,KnobbyFinger
4,50.0,Jd 6s,"received, received, folds, does",,,,,,folded,0.0,imperceptible
5,50.75,3s 3h,"received, received, folds, does",,,,,,folded,0.0,Indigol
6,54.18,Jd Qd,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
6,50.0,6h 5h,"received, received, folds, does",,,,,,folded,0.0,odel_nadel
4,50.0,,"received, received, raises",4h 5c 7h,"caps, mucks, mucks",,,,,2.38,IlxxxlI
5,50.0,Qd Jh,"received, received, raises, mucks, mucks",,,,,,,0.75,IlxxxlI
4,50.0,Kd 3h,"has, received, received, folds, does",,,,,,folded,-0.25,imperceptible
