num_players,player_stack,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result,winners
5,44.4,Ah 2h,"received, received, folds, does",,,,,,folded,0.0,winnipuh
5,104.95,Kc 2h,"received, received, folds, does",,,,,,folded,0.0,Ice
8,53.5,3s 8s,"received, received, folds",8d 5s 3d,,6h,,,,0.0,AironVega
6,40.41,2h 6s,"has, received, received, folds, does",,,,,,folded,-1.0,AironVega
6,23.68,7d As,"has, received, received, folds, does",,,,,,folded,-0.5,GamesDean
7,10.35,9h 7d,"has, received, received, folds",9s 3d Kd,,,,,,-0.25,BadOutfit
5,105.45,Jc 4s,"has, received, received, folds, does",,,,,,folded,-0.5,gust
6,7.79,5h 3s,"received, received, folds, does",,,,,,folded,0.0,FirstClan
8,21.49,7s Ks,"received, received, folds, does",,,,,,folded,0.0,0nlyDaNuts
5,51.4,Kc Qs,"has, received, received, raises, folds, does",,,,,,folded,-7.0,Pimpika
8,53.5,3d 6c,"received, received, folds, does",,,,,,folded,0.0,AironVega
6,24.68,2c 6s,"has, received, received, folds, does",,,,,,folded,-1.0,gust
7,10.35,6c Jh,"received, received, folds",2c 7s 9c,,2h,,,,0.0,Parcker
6,24.68,3s 5s,"received, received, folds, does",,,,,,folded,0.0,Portly23
6,7.89,9h 5c,"has, received, received, folds",Kc Qh As,,,,,,-0.1,bclever
5,106.45,8c,"has, received, received, folds",Jh 6c Kc,,8h,,Qc,,-1.0,FirstClan
8,53.5,5c Ks,"received, received, folds, does",,,,,,folded,0.0,RunnerLucker
5,52.4,5s,"has, received, received, folds",5c 9d Kh,,6h,,4d,,-1.0,Portly23
6,40.41,9s 6s,"received, received, folds",10h As 2c,,6d,,Qd,,0.0,Pimpika
7,10.35,Kc 6h,"received, received, folds, does",,,,,,folded,0.0,DarkKnight247
8,21.49,8s 3d,"received, received, folds",Ac 7s Jd,,Ah,,,,0.0,sabiurr
5,106.45,3c Kc,"received, received, folds, does",,,,,,folded,0.0,Pimpika
5,52.4,4d Jh,"received, received, folds",9s 8s 2s,,Ah,,Ks,,0.0,l3ae
6,38.91,Jh 8h,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
5,106.45,Kd 3c,"received, received, folds, does",,,,,,folded,0.0,Pimpika
6,6.96,Ks,"has, received, received, calls",6s 7s As,"bets, mucks, mucks",,,,,0.93,IlxxxlI
6,24.68,2h Ks,"received, received, folds",7h Qs Jh,,Kc,,6c,,0.0,GamesDean
8,53.5,7d 3s,"received, received, folds, does",,,,,,folded,0.0,RunnerLucker
5,106.45,2c Ad,"received, received, folds, does",,,,,,folded,0.0,WomboComboAA
7,10.35,8c Kh,"received, received, folds, does",,,,,,folded,0.0,joeyzzz
5,52.4,As 5c,"received, received, folds, does",,,,,,folded,0.0,Portly23
7,54.0,7c 9d,"has, received, received, folds, does",,,,,,folded,-0.5,_robbyJ
6,24.68,8d 9s,"received, received, folds, does",,,,,,folded,0.0,Portly23
8,21.49,9c,"received, received, folds",3s Qs 6s,,,,,,0.0,pineapplesand
5,100.52,Qh Ac,"received, received, raises",7d Qd 8h,"bets, mucks, mucks",,,,,5.93,IlxxxlI
5,50.9,As Ad,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
6,42.9,Qc Ah,"received, received, calls",Jh 8h 7d,calls,9c,"folds, does",,folded,-3.99,AironVega
6,6.96,4s 6c,"received, received, folds",6h Qs Ad,,,,,,0.0,dtnfk
8,10.35,Kh Jc,"received, received, folds",4s 5s 5h,,8d,,,,0.0,solasso
7,21.49,Kc 8c,"received, received, folds, does",,,,,,folded,0.0,sabiurr
5,50.9,2h,"received, received, folds, does",,,,,,folded,0.0,l3ae
8,10.0,Qc Ks,"received, received, raises, mucks, mucks",,,,,,,0.35,IlxxxlI
5,101.02,2h 7d,"has, received, received, folds, does",,,,,,folded,-0.5,gust
6,24.68,8s 5d,"received, received, folds",7s 10d 2d,,,,,,0.0,gust
7,47.0,Qs 9s,"has, received, received, calls",10s 5s Kd,checks,7s,"bets, mucks, mucks",,,7.0,IlxxxlI
4,100.52,9s 6h,"has, received, received, mucks, mucks",,,,,,,0.5,IlxxxlI
6,25.18,6h 3c,"has, received, received, folds, does",,,,,,folded,-0.5,Pimpika
6,6.96,2s,"received, received, folds, does",,,,,,folded,0.0,MNspecktacular
6,42.9,4d 9c,"received, received, folds",3d Qc As,,6d,,,,0.0,Portly23
6,19.74,Jd Jc,"received, received, raises, mucks, mucks",,,,,,,1.75,IlxxxlI
5,36.11,Ah 3c,"has, received, received, raises",5c 2c 6h,checks,4h,bets,Jd,bets,14.79,IlxxxlI
4,99.02,Ah Qs,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
8,10.0,8s,"received, received, folds",10h 5h 5c,,,,,,0.0,joeyzzz
3,5.67,9c As,"has, received, received, calls",5s Qc 7d,calls,,checks,Js,"checks, mucks",-0.97,Flushdogg
5,24.68,Ah,"has, received, received, mucks, mucks",,,,,,,0.5,IlxxxlI
7,47.0,9h Js,"received, received, folds, does",,,,,,folded,0.0,_robbyJ
6,6.61,Ah 9c,"received, received, raises, mucks, mucks",,,,,,,0.35,IlxxxlI
7,19.24,As,"has, received, received, raises, mucks, mucks",,,,,,,0.5,IlxxxlI
4,99.02,3c 7d,"received, received, folds, does",,,,,,folded,0.0,Pimpika
8,10.0,7c Qd,"has, received, received, folds",3d 3s 8s,,,,,,-0.1,swill300857
5,24.68,3c 8h,"received, received, folds, does",,,,,,folded,0.0,Pimpika
6,43.4,2d 9h,"has, received, received, folds, does",,,,,,folded,-0.5,AironVega
4,5.77,6h 2h,"has, received, received, folds",7s 6c 2d,,3h,,,,-0.1,Zzzzzzz10
5,38.61,Ad 5d,"has, received, received, calls",3d Ah 4h,checks,8h,"checks, folds, does",,folded,-2.5,winnipuh
7,47.0,9h 7d,"received, received, folds, does",,,,,,folded,0.0,scootie
4,99.02,2c,"received, received, folds, does",,,,,,folded,0.0,WomboComboAA
5,5.67,5s Js,"has, received, received, mucks, mucks",,,,,,,0.1,IlxxxlI
8,10.0,3s Ah,"has, received, received, folds, does",,,,,,folded,-0.25,Ice
4,99.52,Qh 4h,"has, received, received, folds, does",,,,,,folded,-0.5,Ice
5,24.68,Kc 6h,"received, received, folds",7s 4s Kh,,6c,,As,,0.0,"Portly23, GamesDean"
5,5.67,3c Qs,"received, received, folds, does",,,,,,folded,0.0,dtnfk
5,38.61,9d 6h,"received, received, folds",As 10s Kc,,,,,,0.0,Pimpika
6,6.61,4s 4h,"received, received, folds",8s 2h Jd,,8h,,7h,,0.0,dtnfk
7,10.0,Ac Ks,"has, received, received, allin",Ah 10c 7d,,Kh,,5d,,9.24,IlxxxlI
7,47.0,7d Ks,"received, received, folds, does",,,,,,folded,0.0,AironVega
4,5.67,5d 7s,"received, received, folds, does",,,,,,folded,0.0,Parcker
8,10.0,6s 4h,"received, received, folds",Qh Ac 3d,,,,,,0.0,xx10jqkaxx
3,7.36,Qs 7s,"has, received, received, calls, folds, does",,,,,,folded,-0.25,Zzzzzzz10
4,24.68,Qd 4h,"received, received, folds",4c Qc 7c,,,,,,0.0,AironVega
5,22.59,7d 6d,"has, received, received, calls",4d Jh 6s,"checks, calls",2s,"checks, calls",9d,"checks, allin",20.81,IlxxxlI
3,5.94,Kc 4c,"has, received, received, calls",7s 3c 7c,"checks, raises, mucks, mucks",,,,,1.42,IlxxxlI
5,38.61,2s 7c,"received, received, folds, does",,,,,,folded,0.0,Ice
4,5.94,9c 8h,"received, received, folds, does",,,,,,folded,0.0,Parcker
7,44.27,Qh Kc,"received, received, raises",Ks 7s 3h,"bets, mucks, mucks",,,,,2.73,IlxxxlI
4,101.52,9s 3s,"has, received, received, calls",5s Jc 4c,"checks, folds, folded",,,,,-2.0,Pimpika
8,10.0,6s 7c,"received, received, folds, does",,,,,,folded,0.0,Ice
5,38.61,7c Ah,"received, received, folds, does",,,,,,folded,0.0,l3ae
4,5.77,8h 3h,"has, received, received, folds",3s Qh 7h,,Js,,6d,,-0.1,dtnfk
4,6.04,7d Qs,"has, received, received, folds, does",,,,,,folded,-0.1,dtnfk
6,6.71,8c Jd,"has, received, received, folds",9h Ah 6s,,6h,,8s,,-0.1,MNspecktacular
6,44.27,4d 2c,"received, received, folds, does",,,,,,folded,0.0,twoakers
8,10.0,5d 8d,"received, received, folds, does",,,,,,folded,0.0,Ice
4,101.52,9s Qd,"received, received, folds, does",,,,,,folded,0.0,Pimpika
4,6.02,Qh 4c,"has, received, received, folds, does",,,,,,folded,-0.25,Flushdogg
5,25.18,6s 8h,"has, received, received, folds",2h 10c Qc,,5c,,7c,,-0.5,Pimpika
4,101.52,Jh,"received, received, folds, does",,,,,,folded,0.0,WomboComboAA
5,22.59,8h,"received, received, folds",3c 2d Ac,,7s,,,,0.0,Pimpika
5,38.61,Qd 8h,"received, received, folds",7s Qc 6c,,,,,,0.0,winnipuh
7,44.27,Kh 6h,"received, received, folds, does",,,,,,folded,0.0,_robbyJ
8,10.0,9s 3c,"received, received, folds, does",,,,,,folded,0.0,Parcker
5,6.29,Qd 2c,"has, received, received, folds, does",,,,,,folded,-0.25,dtnfk
4,22.59,6h 5c,"received, received, folds, does",,,,,,folded,0.0,Pimpika
4,39.11,7s 2c,"has, received, received, folds, does",,,,,,folded,-0.5,l3ae
6,6.96,5c Js,"has, received, received, folds, does",,,,,,folded,-0.25,Parcker
7,44.77,6d Qd,"has, received, received, folds, does",,,,,,folded,-0.5,gust
4,22.59,Jc 6c,"received, received, folds, does",,,,,,folded,0.0,AironVega
4,101.52,5s,"received, received, folds",8c 2h Kh,,,,9h,,0.0,WomboComboAA
5,6.02,6s 3s,"received, received, folds",7s 9d 5d,,4s,,6c,,0.0,Parcker
8,10.0,3h,"received, received, folds",Qh 6c Js,,,,,,0.0,Parcker
6,6.96,5s,"received, received, folds",Ks Jc 7d,,4c,,3c,,0.0,MNspecktacular
4,40.11,Kh 3d,"has, received, received, folds, does",,,,,,folded,-1.0,winnipuh
6,22.0,Ah,"received, received, raises",Jc 7d 9s,checks,9d,"bets, mucks, mucks",,,3.18,IlxxxlI
5,21.59,8h 8d,"has, received, received, raises, mucks, mucks",,,,,,,1.0,IlxxxlI
4,40.11,9s 6h,"received, received, folds, does",,,,,,folded,0.0,Ice
8,10.0,Qh 3d,"received, received, folds, does",,,,,,folded,0.0,joeyzzz
5,5.0,Ah Ad,"received, received, calls",4s 10c 4c,"bets, mucks, mucks",,,,,1.02,IlxxxlI
4,102.02,Ah 7d,"has, received, received, folds",9d 6d Jc,,6h,,,,-0.5,Ice
5,5.0,8h 9c,"has, received, received, folds, does",,,,,,folded,-0.1,ISULDURR
5,6.29,Ah 3h,"received, received, folds",Qd 10h Ks,,3c,,,,0.0,FirstClan
7,47.77,6d 7d,"has, received, received, calls",3h Js 7h,checks,9s,"checks, folds, folded",4h,,-3.0,Ice
6,6.96,Jh Qc,"received, received, folds",8h As 5h,,,,,,0.0,Parcker
5,21.09,7c 2s,"has, received, received, mucks, mucks",,,,,,,0.5,IlxxxlI
6,22.0,8c,"received, received, folds, does",,,,,,folded,0.0,Portly23
5,89.03,Kh Ks,"has, received, received, calls",3c 6d 8d,,3h,,7s,,12.99,IlxxxlI
4,40.11,2s 2d,"received, received, folds, does",,,,,,folded,0.0,Ice
8,10.0,3h 6h,"received, received, folds, does",,,,,,folded,0.0,Parcker
5,21.09,Qc 3c,"received, received, folds, does",,,,,,folded,0.0,AironVega
5,6.29,3d 7d,"received, received, folds, does",,,,,,folded,0.0,Zzzzzzz10
6,6.61,3s As,"received, received, raises, mucks, mucks",,,,,,,0.35,IlxxxlI
5,5.0,6h 8h,"has, received, received, calls",Jd 3c 8c,"checks, folds, does",,,,folded,-0.5,ISULDURR
5,22.0,Kc 9s,"received, received, folds, does",,,,,,folded,0.0,AironVega
7,38.89,Ah Qs,"received, received, raises",2d 7s Qc,"bets, mucks, mucks",,,,,8.88,IlxxxlI
4,23.59,As,"received, received, raises, folds, does",,,,,,folded,-2.5,Pimpika
8,10.1,8c Jh,"has, received, received, folds, does",,,,,,folded,-0.1,Parcker
