num_players,player_stack,blind,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result
8,20.0,2,Qh 7s,"received, received, folds",2s Qc Qs,,2d,,4d,,-0.5
8,20.0,0,Ac Ks,"received, received, raises, mucks",,,,,,,0.75
9,40.0,0,Qs 8s,"received, received, folds",,,,,,,0.0
4,20.0,2,4c 2c,"received, received, folds",,,,,,,-0.5
8,20.0,0,8c 4c,"received, received, folds",,,,,,,0.0
5,35.88,1,9h 4s,"received, received, folds",Ac Js Kc,,3h,,Qs,,-0.25
8,20.0,0,Jd 7s,"received, received, folds",,,,,,,0.0
5,40.0,1,2d 5h,"received, received, folds",,,,,,,-0.5
8,20.0,0,10c 4h,"received, received, folds",,,,,,,0.0
9,40.0,0,3h Jc,"received, received, folds",,,,,,,0.0
5,20.0,2,6d 9h,"received, received, checks",6h 7s 6c,"checks, calls",Kd,"checks, calls",3h,,15.88
8,20.0,0,Qd 4h,"received, received, folds",Jh Ac 4c,,,,,,0.0
5,40.0,2,10d Qc,"received, received, calls",4d Ac 6c,"checks, folds",,,,,-3.0
5,20.0,0,Jh 6s,"received, received, folds",,,,,,,0.0
9,20.75,0,Ad Qd,"received, received, raises, folds",,,,,,,-3.5
9,20.75,0,9h As,"received, received, folds",4s 4h 3c,,,,,,0.0
8,20.0,0,2s 3s,"received, received, folds",10c 6c 4h,,9s,,Ad,,0.0
9,20.0,0,10h 8d,"received, received, folds",,,,,,,0.0
9,40.0,0,8c 8h,"received, received, folds",5c 3h 6s,,2d,,,,0.0
9,20.75,0,Kd 4c,"received, received, folds",Kh 7s 2d,,,,,,0.0
4,20.0,0,8c Js,"received, received, folds",7c 6c 5s,,9h,,4c,,0.0
9,20.0,0,Qh 5s,"received, received, folds",,,,,,,0.0
4,20.0,0,4h Ac,"received, received, folds",8h Jc 6c,,,,,,0.0
9,20.0,1,Qd 7h,"received, received, folds",,,,,,,-0.25
9,21.0,1,5h 2s,"received, received, folds",7h 4h Js,,,,,,-0.25
9,40.0,0,3s 9h,"received, received, folds",,,,,,,0.0
5,56.3,0,6h Qs,"received, received, folds",,,,,,,0.0
8,20.75,2,9h Js,"received, received, mucks",,,,,,,0.25
4,20.0,0,9d 2d,"received, received, folds",4h 4c 2h,,As,,Jh,,0.0
5,56.3,0,3s Qc,"received, received, folds",,,,,,,0.0
9,20.0,2,2c 5h,"received, received, folds",10s 7c Ks,,7d,,,,-0.5
4,20.0,1,3h 9c,"received, received, folds",6h Jd Kd,,8h,,4d,,-0.25
5,40.0,1,Jc Kc,"received, received, calls",Js 4s 6d,checks,9h,bets,4h,"allin, mucks",16.3
7,52.0,0,Ad Kd,"received, received, raises, allin",10h Ks 2h,,6s,,Jh,,51.0
9,86.2,0,6h 3d,"received, received, folds",,,,,,,0.0
